Lake,Sample_date,Treatment,Replicate,Microcystin_ugL,tDOM_added,Nut_added,pH,comments,PO4_P_ugL,NH4_N_mgL,NO3_N_mgL,TP_mgL,TN_mgL,TNTP_ratio,Chla_ugL,PC_ugL,DOC_mgL,Cyanos_cellmL,Observation,AddedNut_ratio,Added_Nform
Grand,9/10/2021,"SH + low N:P, urea",1,21.77464172,tDOM added,"low N:P, urea",NA,,14,0.0282,0.0362,0.464782609,3.997011952,8.599745074,197.7531931,2168.814981,8.018,,post,low,urea
Grand,9/10/2021,"SH + low N:P, urea",2,24.2668081,tDOM added,"low N:P, urea",NA,,22.8,0.0226,0.0338,0.447391304,3.783579966,8.456981466,254.4263644,2472.26367,7.9,,post,low,urea
Grand,9/10/2021,"SH + low N:P, urea",3,21.23861996,tDOM added,"low N:P, urea",NA,,7.23,0.0106,0.043,0.425652174,3.755122368,8.822044377,207.9539109,2327.146067,8.341,,post,low,urea
Grand,9/10/2021,"SH + high N:P, NH4",1,32.84,tDOM added,"high N:P, NH4",NA,,8.89,0.0331,0.0427,0.527826087,5.234917473,9.917883185,405.1528835,4543.361798,8.12,,post,high,NH4
Grand,9/10/2021,"SH + high N:P, NH4",2,34.47,tDOM added,"high N:P, NH4",NA,,5.53,0.0139,0.0392,0.505,5.249146272,10.39434905,300.2472262,3334.66367,8.078,,post,high,NH4
Grand,9/10/2021,"SH + high N:P, NH4",3,30.74,tDOM added,"high N:P, NH4",NA,,5.43,0.00132,0.0436,0.534347826,5.348747866,10.00986175,415.9078219,3362.789513,7.948,,post,high,NH4
Grand,9/10/2021,"SH + high N:P, urea",1,37.97,tDOM added,"high N:P, urea",NA,,7.52,0.0834,0.0415,0.518043478,5.74715424,11.09396119,384.6540769,2380.797004,8.339,,post,high,urea
Grand,9/10/2021,"SH + high N:P, urea",2,26.15,tDOM added,"high N:P, urea",NA,,5.93,0.0363,0.0386,0.481086957,4.864968697,10.11245187,406.3586957,2191.48764,7.957,,post,high,urea
Grand,9/10/2021,"SH + high N:P, urea",3,25.99,tDOM added,"high N:P, urea",NA,,5.97,0.0391,0.0399,0.521304348,4.879197496,9.35959486,406.6881903,2390.675655,8.054,,post,high,urea
Sandusky,9/1/2021,initial,1,0.76,none,none,NA,,54,0.0165,0.0413,0.184347826,0.698776323,3.790531943,39.7918011,407.7093633,5.092,,pre,none,none
Sandusky,9/1/2021,initial,2,0.17,none,none,NA,,54.7,0.045,0.0425,0.187608696,0.775611838,4.134199824,24.03250616,592.5303371,,,pre,none,none
Sandusky,9/1/2021,initial,3,0.17,none,none,NA,"total P did not enough sample to analyze, removed",54.8,0.0368,0.0264,NA,0.721542402,NA,31.91215363,500.1198502,,,pre,none,none
Sandusky,9/8/2021,control,1,0.12,none,none,NA,,3.77,0.024,0.0531,0.131086957,1.122794536,8.565265086,56.37171822,561.6149813,5.356,,post,none,none
Sandusky,9/8/2021,control,2,0.15,none,none,NA,,4.29,0.0172,0.0446,0.114782609,1.321997723,11.51740437,72.73056979,517.4861423,5.417,,post,none,none
Sandusky,9/8/2021,control,3,0.14,none,none,NA,,6.94,0.0127,0.0494,0.112608696,0.886596471,7.87325049,29.77940981,447.4127341,5.231,,post,none,none
Sandusky,9/8/2021,SH only,1,0.12,tDOM added,none,NA,,18.4,0.00405,0.043,0.160434783,1.094336938,6.821070329,36.47581767,3064.248689,6.122,,post,none,none
Sandusky,9/8/2021,SH only,2,0.12,tDOM added,none,NA,,10.1,0.0194,0.045,0.152826087,1.265082527,8.277922649,36.03368655,3771.526592,6.419,,post,none,none
Sandusky,9/8/2021,SH only,3,0.14,tDOM added,none,NA,,11.1,0.0147,0.0382,0.153913043,1.122794536,7.294992771,30.127707,2456.260674,6.055,,post,none,none
Sandusky,9/8/2021,"low N:P, NH4",1,0.12,none,"low N:P, NH4",NA,,8.38,0.0217,0.0349,0.218043478,1.649260102,7.563904764,110.5327808,517.4861423,5.242,,post,low,NH4
Sandusky,9/8/2021,"low N:P, NH4",2,1.09,none,"low N:P, NH4",NA,,9.42,0.0117,0.038,0.234347826,1.620802504,6.916225901,68.08819299,655.388764,5.325,,post,low,NH4
Sandusky,9/8/2021,"low N:P, NH4",3,0.24,none,"low N:P, NH4",NA,,0.272,0.0339,0.0366,0.211521739,1.905378486,9.007955849,73.55217145,425.3483146,5.774,,post,low,NH4
Sandusky,9/8/2021,"low N:P, urea",1,0.27,none,"low N:P, urea",NA,,4.04,0.0228,0.0414,0.173478261,1.706175299,9.835095701,74.72015984,262.0464419,6.073,,post,low,urea
Sandusky,9/8/2021,"low N:P, urea",2,0.21,none,"low N:P, urea",NA,,14.3,0.00511,0.0407,0.211521739,1.820005692,8.604343462,112.7434364,414.3161049,5.619,,post,low,urea
Sandusky,9/8/2021,"low N:P, urea",3,0.33,none,"low N:P, urea",NA,,4.13,0.0289,0.06,0.193043478,1.620802504,8.396049019,85.02549068,523.0022472,5.864,,post,low,urea
Sandusky,9/8/2021,"high N:P, NH4",1,0.95,none,"high N:P, NH4",NA,,3.82,0.0298,0.048,0.198478261,2.887165623,14.54650806,203.3803167,653.752809,5.765,,post,high,NH4
Sandusky,9/8/2021,"high N:P, NH4",2,0.03,none,"high N:P, NH4",NA,,7.9,0.0366,0.0404,0.181086957,2.94408082,16.25782922,165.7991712,834.693633,6.483,,post,high,NH4
Sandusky,9/8/2021,"high N:P, NH4",3,0.04,none,"high N:P, NH4",NA,,3.12,0.0525,0.205,0.190869565,2.730648833,14.30636064,227.4175775,882.1573034,5.352,,post,high,NH4
Sandusky,9/8/2021,"high N:P, urea",1,0.45,none,"high N:P, urea",NA,,5.43,0.018,0.0634,0.207173913,3.043682413,14.69143662,181.2737606,814.8104869,5.986,,post,high,urea
Sandusky,9/8/2021,"high N:P, urea",2,0.44,none,"high N:P, urea",NA,,5.98,0.0338,0.041,0.209347826,3.029453614,14.47091031,185.6950718,561.6149813,6.148,,post,high,urea
Sandusky,9/8/2021,"high N:P, urea",3,0.05,none,"high N:P, urea",NA,,4.74,0.0782,0.0301,0.144130435,2.730648833,18.94567815,192.5878584,506.9992509,6.525,,post,high,urea
Sandusky,9/8/2021,"SH + low N:P, NH4",1,0.34,tDOM added,"low N:P, NH4",NA,,12.3,0.072,0.0271,0.260434783,1.876920888,7.206874851,28.73852302,2070.070412,6.454,,post,low,NH4
Sandusky,9/8/2021,"SH + low N:P, NH4",2,0.23,tDOM added,"low N:P, NH4",NA,,4.07,0.00974,0.0419,0.255,1.948064883,7.639470129,132.639337,3204.395506,6.435,,post,low,NH4
Sandusky,9/8/2021,"SH + low N:P, NH4",3,1.06,tDOM added,"low N:P, NH4",NA,,12.1,0.035,0.0414,0.287608696,1.976522482,6.87226259,132.1480518,2671.388764,6.039,,post,low,NH4
Sandusky,9/8/2021,"SH + low N:P, urea",1,0.45,tDOM added,"low N:P, urea",NA,,14.7,0.0247,0.0412,0.25173913,1.905378486,7.568861011,154.7458932,1847.119101,5.982,,post,low,urea
Sandusky,9/8/2021,"SH + low N:P, urea",2,0.26,tDOM added,"low N:P, urea",NA,,4.19,0.027,0.0402,0.207173913,1.649260102,7.960751806,101.0269617,2722.669663,6.287,,post,low,urea
Sandusky,9/8/2021,"SH + low N:P, urea",3,0.32,tDOM added,"low N:P, urea",NA,,40.4,0.061,0.0368,0.394130435,3.000996016,7.614220445,73.66485584,1878.579775,7.017,,post,low,urea
Sandusky,9/8/2021,"SH + high N:P, NH4",1,1.08,tDOM added,"high N:P, NH4",NA,,5.35,0.0322,0.0272,0.228913043,3.08636881,13.48271278,234.3294954,3560.089888,7.461,,post,high,NH4
Sandusky,9/8/2021,"SH + high N:P, NH4",2,1.23,tDOM added,"high N:P, NH4",NA,,4.67,0.0246,0.0327,0.206086957,2.844479226,13.80232533,168.0098269,3047.574532,7.694,,post,high,NH4
Sandusky,9/8/2021,"SH + high N:P, NH4",3,0.69,tDOM added,"high N:P, NH4",NA,,5.43,0.0479,0.0331,0.22673913,2.986767217,13.172703,257.125279,3769.219476,7.124,,post,high,NH4
Sandusky,9/8/2021,"SH + high N:P, urea",1,1.12,tDOM added,"high N:P, urea",NA,,54.5,0.128,0.107,0.287608696,3.755122368,13.05635894,192.3270386,3978.411985,6.746,,post,high,urea
Sandusky,9/8/2021,"SH + high N:P, urea",2,0.54,tDOM added,"high N:P, urea",NA,,46.6,0.121,0.0801,0.30173913,3.740893569,12.39777409,205.5909723,3342.843446,6.621,,post,high,urea
Sandusky,9/8/2021,"SH + high N:P, urea",3,1.95,tDOM added,"high N:P, urea",NA,,5.07,0.0307,0.0555,0.182173913,2.858708025,15.69219203,104.4891572,1092.377528,7.613,,post,high,urea
